TOTAL_RESULT: PASS
DATE: 2023-10-26 10:12:35
ICT_TEST_TIME: 114252ms
EOL_TEST_TIME: 280758ms
TOTAL_TEST_TIME: 395010ms
FLASHING_INFO: CH1(GRP=SG2gE2MCU32dv107_25M_checksum.grp; CRC=45C9BBA9;)
FLASHING_LOG_FILE: D:\ElozPlugin\FlashingLog\2023\10\26\FD3BD0744B8B_2023-10-26_10_07_49.txt
FLASHING_RESULT:
FLASHING_RESULT: CH1 PASS

Result,Board,Total,Type,Part,Remark,ActVal,StdVal,HL,LL,TestVal,DEV,RunTime,Note
PASS,1,3,Script,,"Display Testing SG2 Control",,,,,0,,0
PASS,1,4,Script,,"UUT PS OFF",,,,,0,,0
PASS,1,5,Script,,"GPALL OFF",,,,,0,,0
PASS,1,6,Script,,"ODA123 OFF",,,,,0,,0
PASS,1,7,Script,,"MK-1 OUTPUT OFF",,,,,0,,0
PASS,1,8,Script,,"MK-2 OUTPUT OFF",,,,,0,,0
PASS,1,9,Script,,"MK-3 OUTPUT OFF",,,,,0,,0
PASS,1,10,Script,,"Display Testing Discharges",,,,,0,,0
PASS,1,11,Script,,"Discharge ON",,,,,0,,0
PASS,1,12,Script,,"Discharge OFF",,,,,0,,0
PASS,1,13,Script,,"Display Testing Contacts",,,,,0,,0
PASS,1,14,DischargeTest,,"Discharge Test",,,,,0,,0
PASS,1,15,ContactTest,,"Contact Test",,,,,0,,0
PASS,1,16,Script,,"Display Testing Shorts",,,,,0,,0
PASS,1,17,ShortsTest,,"Shorts Test",,,,,0,,0
PASS,1,18,OpensTest,,"Opens Test",,,,,0,,0
NOSTATE,1,19,AbortOnFault,Abort,"Abort on fault",,,,,0,,0
PASS,1,20,Script,,"Display Testing Low Capacitors",,,,,0,,0
PASS,1,21,ResistorTest,R309,"R309 47k",47KΩ,47KΩ,3%,3%,46.4668,-1.1345,0
PASS,1,22,CapacitorTest,C267,"C267 // R242 (OPEN TEST)",100.001pF,100.001pF,P,1,96941.1487,96840.1793,0
PASS,1,22,CapacitorTest,C267,"C267 // R242 (OPEN TEST)",100KΩ,100KΩ,P,1,999000000,998999900,0
PASS,1,23,VCTest(1_7_0) {Plugin},V,"V/C C267",,,,,0.1091,,0
PASS,1,23,VCTest(1_7_0) {Plugin},V,"V/C C267",,,,,0.0015,,0
PASS,1,24,CapacitorTest,C276,"C276 100p",100pF,100pF,50%,50%,113.9646,13.9646,0
PASS,1,24,CapacitorTest,C276,"C276 100p",500KΩ,500KΩ,P,1,999000000,199799900,0
PASS,1,25,CapacitorTest,C272,"C272 100p",300pF,300pF,20%,20%,283.6453,-5.4516,0
PASS,1,26,CapacitorTest,C277,"C277 100p 346 347",250pF,250pF,30%,30%,267.2531,6.9012,0
